project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,43457,at07,2,2019at0702,10-Apr,>10,both,a63,br,2019at07,at07,passive,summer,08/13/2019,"kf, jm, as",talus slide,308326,5808239,10,43089,male,grizzly,2019,Reference
nt,43462,at03,1,2019at0301,10-Apr,10-Apr,both,coil,bl,2019at03,at03,passive,summer,07/29/2019,"as, kf",hotnarko mouth,310595,5804687,10,57049,female,black,2019,Reference
nt,43464,at06,1,2019at0601,lots,lots,both,a15,bl,2019at06,at06,passive,summer,07/29/2019,"as, kf",sheep creek,309246,5807378,10,43464,female,black,2019,Reference
nt,43469,at08,9,2019at0809,>10,>10,both,a6,br,2019at08,at08,passive,fall,10/07/2019,"as, kf, km",63 hole,307975,5808563,10,40086,female,grizzly,2019,Reference
nt,43471,at09,9,2019at0909,>10,>10,both,b20,mixed,2019at09,at09,passive,fall,10/07/2019,"as, kf, km",blair's hole,307603,5808688,10,43471,female,grizzly,2019,Reference
nt,43472,at17,10,2019at1710,10-Apr,10-Apr,both,c33,bl,2019at17,at17,passive,fall,10/08/2019,"kf, as, km",bc wrights,299622,5810216,10,40032,female,black,2019,Landbased
nt,43472b,at28,9,2019at2809,10-Apr,>10,both,a14,br,2019at28,at28,passive,fall,10/07/2019,"as, kf, km",sockeye island,306979,5809332,10,32381,male,grizzly,2019,Landbased
nt,43481,at06,5,2019at0605,lots,,g,a17,br,2019at06,at06,passive,summer,08/29/2019,"kf, as, bc",sheep creek,309246,5807378,10,43481,female,grizzly,2019,Reference
nt,43485,at10,3,2019at1003,10-Apr,,g,a15,br,2019at10,at10,passive,summer,08/17/2019,"as, km",billy's cabin,306611,5809269,10,36879,female,grizzly,2019,Landbased
nt,43487,at06,1,2019at0601,10-Apr,10-Apr,both,a30,br,2019at06,at06,passive,summer,07/29/2019,"as, kf",sheep creek,309246,5807378,10,17104,male,black,2019,Reference
nt,43492,at01,1,2019at0101,>10,>10,both,a5,br,2019at01,at01,passive,summer,07/29/2019,"as, kf",stillwater forest,311025,5803339,10,50520,male,grizzly,2019,Reference
nt,43502,at11,4,2019at1104,10-Apr,,g,a33,bl,2019at11,at11,passive,summer,08/24/2019,"ch,kf,km",frog water,305595,5809726,10,30354,female,grizzly,2019,Landbased
nt,43504,at25,4,2019at2505,03-Jan,>10,both,b6,br,2019at25,at25,passive,summer,08/22/2019,"as, km, bc",little tweedsmuir,699677,5805811,9,43312,female,grizzly,2019,Platform_Drift
nt,43507,at19,7,2019at1907,10-Apr,10-Apr,both,a7,bl,2019at19,at19,passive,summer,09/10/2019,"kf, as, km",eagle slough,297868,5808926,10,43507,female,black,2019,Landbased
nt,43509,at11,12,2019at1112,10-Apr,03-Jan,both,a4,br,2019at11,at11,passive,fall,11/05/2019,"km, jm, kf",frog water,305595,5809726,10,40051,male,grizzly,2019,Landbased
nt,49500,at30,12,2019at3012,>10,03-Jan,both,a5,bl,2019at30,at30,passive,fall,11/04/2019,"kf, as, km",holly's side channel,700379,5805728,9,49988,female,grizzly,2019,Platform_Drift
nt,49503,at08,12,2019at0812,>10,>10,both,b8,bl,2019at08,at08,passive,fall,11/05/2019,"km, jm, kf",63 hole,307975,5808563,10,40119,female,grizzly,2019,Reference
nt,49505,at17,11,2019at1711,lots,>10,both,c6,br,2019at17,at17,passive,fall,10/22/2019,"kf, as, km",bc wrights,299622,5810216,10,40119,female,grizzly,2019,Landbased
nt,49508,at17,11,2019at1711,>10,>10,both,c24,br,2019at17,at17,passive,fall,10/22/2019,"kf, as, km",bc wrights,299622,5810216,10,50552,female,grizzly,2019,Landbased
nt,49535,at05,12,2019at0512,>10,lots,both,a6,br,2019at05,at05,passive,fall,11/03/2019,"as, kf, js",line cabin,309302,5806163,10,49535,male,grizzly,2019,Reference
nt,49560,at15,10,2021at1510,10-Apr,>10,both,a15,br,2021at15,at15,passive,summer,10/25/2021,"ns, ei, ip",camp creek,301454,5810377,10,40157,male,grizzly,2021,Landbased
nt,49562,at16,10,2021at1610,10-Apr,10-Apr,both,b4,mixed,2021at16,at16,passive,summer,10/25/2021,"ns, ei, ip",lost hat,300800,5810409,10,50552,female,grizzly,2021,Landbased
nt,49563,at05,9,2021at0509,>10,03-Jan,both,a39,br,2021at05,at05,passive,summer,10/21/2021,"kf, rs, ei",line cabin,309292,5806176,10,30354,female,grizzly,2021,Reference
nt,49564,at15,9,2021at1509,03-Jan,>10,both,a11,bl,2021at15,at15,passive,summer,10/18/2021,"sm, ei, ns",camp creek,301454,5810377,10,49576,male,grizzly,2021,Landbased
nt,49569,at24,7,2021at2407,lots,lots,both,b29,mixed,2021at24,at24,passive,summer,09/21/2021,"kf, sm, rs",belarko,700609,5805750,9,38709,female,grizzly,2021,Platform_Drift
nt,49570,at24,7,2021at2407,lots,lots,both,b30,mixed,2021at24,at24,passive,summer,09/21/2021,"kf, sm, rs",belarko,700609,5805750,9,38709,female,grizzly,2021,Platform_Drift
nt,49573,at23,3,2021at2303,lots,lots,both,a16,br,2021at23,at23,passive,summer,08/20/2021,"sm, ei, sy",kettle confluence,701637,5805050,9,18219,female,grizzly,2021,Landbased
nt,49576,at15,9,2021at1509,lots,10-Apr,both,a10,mixed,2021at15,at15,passive,summer,10/18/2021,"sm, ei, ns",camp creek,301454,5810377,10,49576,male,grizzly,2021,Landbased
nt,49842,at16,7,2019at1607,10-Apr,10-Apr,both,b2,br,2019at16,at16,passive,summer,09/10/2019,"kf, as, km",lost hat,300787,5810425,10,50552,female,grizzly,2019,Landbased
nt,49854,at18,7,2019at1807,10-Apr,10-Apr,both,a7,br,2019at18,at18,passive,summer,09/10/2019,"kf, as, km",mosher,298849,5809590,10,50552,female,grizzly,2019,Landbased
nt,49856,at16,6,2019at1606,10-Apr,,g,b29,br,2019at16,at16,passive,summer,09/03/2019,"as, km",lost hat,300787,5810425,10,50552,female,grizzly,2019,Landbased
nt,49860,at16,6,2019at1606,>10,>10,both,b24,br,2019at16,at16,passive,summer,09/03/2019,"as, km",lost hat,300787,5810425,10,40051,male,grizzly,2019,Landbased
nt,49863,at10,5,2019at1005,lots,lots,both,a20,bl,2019at10,at10,passive,summer,08/30/2019,"as, km, bc",billy's cabin,306611,5809269,10,49863,female,grizzly,2019,Landbased
nt,49867,at17,10,2019at1710,10-Apr,10-Apr,both,a13,br,2019at17,at17,passive,fall,10/08/2019,"kf, as, km",bc wrights,299622,5810216,10,43089,male,grizzly,2019,Landbased
nt,49873,at05,6,2019at0506,lots,lots,both,a5,mixed,2019at05,at05,passive,summer,09/05/2019,"kf, as",line cabin,309302,5806163,10,40119,female,grizzly,2019,Reference
nt,49874,at05,6,2019at0506,>10,>10,both,a3,br,2019at05,at05,passive,summer,09/05/2019,"kf, as",line cabin,309302,5806163,10,50552,female,grizzly,2019,Reference
nt,49877,at25,9,2019at2509,10-Apr,,g,a52,br,2019at25,at25,passive,fall,10/08/2019,"kf, as, km",little tweedsmuir,699677,5805811,9,49877,female,grizzly,2019,Platform_Drift
nt,49878,at22,4,2019at2204,10-Apr,03-Jan,both,a18,bl,2019at22,at22,passive,summer,08/20/2019,"km, as",trolley northside,703795,5805229,9,43507,female,black,2019,Landbased
nt,49879,at13,4,2019at1304,10-Apr,,g,b20,bl,2019at13,at13,passive,summer,08/20/2019,"km, as",wood cut road,304271,5810444,10,41322,male,grizzly,2019,Landbased
nt,49882,at14,4,2019at1404,>10,>10,both,b54,mixed,2019at14,at14,passive,summer,08/20/2019,"km, as",atnarko campground beach,302041,5809940,10,43348,female,grizzly,2019,Landbased
nt,49887,at14,4,2019at1404,10-Apr,10-Apr,both,b60,br,2019at14,at14,passive,summer,08/20/2019,"km, as",atnarko campground beach,302041,5809940,10,36879,female,grizzly,2019,Landbased
nt,49888,at14,4,2019at1404,10-Apr,,g,b56,br,2019at14,at14,passive,summer,08/20/2019,"km, as",atnarko campground beach,302041,5809940,10,43348,female,grizzly,2019,Landbased
nt,49890,at08,5,2019at0805,10-Apr,10-Apr,both,b10,mixed,2019at08,at08,passive,summer,08/30/2019,"as, km, bc",63 hole,307975,5808563,10,57176,female,grizzly,2019,Reference
nt,49896,at19,4,2019at1904,10-Apr,,g,a13,mixed,2019at19,at19,passive,summer,08/22/2019,"as, bc",eagle slough,297868,5808926,10,43360,male,grizzly,2019,Landbased
nt,49897,at08,5,2019at0805,10-Apr,10-Apr,both,b8,br,2019at08,at08,passive,summer,08/30/2019,"as, km, bc",63 hole,307975,5808563,10,57176,female,grizzly,2019,Reference
nt,49898,at13,6,2019at1306,>10,10-Apr,both,b1,mixed,2019at13,at13,passive,summer,09/03/2019,"as, km",wood cut road,304271,5810444,10,41396,female,grizzly,2019,Landbased
nt,49903,at09,5,2019at0905,10-Apr,,g,b9,br,2019at09,at09,passive,summer,08/30/2019,"as, km, bc",blair's hole,307603,5808688,10,50520,male,grizzly,2019,Reference
nt,49904,at25,6,2019at2506,10-Apr,10-Apr,both,a14,br,2019at25,at25,passive,summer,09/07/2019,"as, km, hw",little tweedsmuir,699677,5805811,9,40221,female,grizzly,2019,Platform_Drift
nt,49906,at25,6,2019at2506,lots,lots,both,a13,mixed,2019at25,at25,passive,summer,09/07/2019,"as, km, hw",little tweedsmuir,699677,5805811,9,40221,female,grizzly,2019,Platform_Drift
nt,49907,at25,6,2019at2506,>10,>10,both,a8,mixed,2019at25,at25,passive,summer,09/07/2019,"as, km, hw",little tweedsmuir,699677,5805811,9,49907,male,grizzly,2019,Platform_Drift
nt,49914,at15,11,2019at1511,lots,lots,both,b24,mixed,2019at15,at15,passive,fall,10/22/2019,"kf, as, km",camp creek,301453,5810381,10,49914,female,grizzly,2019,Landbased
